"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02276V02746","Domestic","C02196V04140","Region of Residence","UNIT","VALUE"
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","01","Domestic","-","State","Thousand","2118"
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","01","Domestic","IE04","Northern and Western","Thousand","359"
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","01","Domestic","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","01","Domestic","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","01","Domestic","IE05","Southern","Thousand","717"
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","01","Domestic","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","01","Domestic","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","01","Domestic","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","01","Domestic","IE06","Eastern and Midland","Thousand","1042"
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","01","Domestic","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","01","Domestic","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","01","Domestic","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","02","Outbound","-","State","Thousand","1654"
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","02","Outbound","IE04","Northern and Western","Thousand","244"
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","02","Outbound","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","02","Outbound","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","02","Outbound","IE05","Southern","Thousand","416"
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","02","Outbound","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","02","Outbound","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","02","Outbound","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","02","Outbound","IE06","Eastern and Midland","Thousand","994"
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","02","Outbound","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","02","Outbound","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20181","2018Q1","02","Outbound","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","01","Domestic","-","State","Thousand","2553"
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","01","Domestic","IE04","Northern and Western","Thousand","380"
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","01","Domestic","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","01","Domestic","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","01","Domestic","IE05","Southern","Thousand","942"
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","01","Domestic","IE051","Mid-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","01","Domestic","IE052","South-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","01","Domestic","IE053","South-West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","01","Domestic","IE06","Eastern and Midland","Thousand","1232"
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","01","Domestic","IE061","Dublin","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","01","Domestic","IE062","Mid-East","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","01","Domestic","IE063","Midland","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","02","Outbound","-","State","Thousand","2283"
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","02","Outbound","IE04","Northern and Western","Thousand","352"
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","02","Outbound","IE041","Border","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","02","Outbound","IE042","West","Thousand",""
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","02","Outbound","IE05","Southern","Thousand","556"
"HTQ16C01","Number of Trips by Irish Residents","20182","2018Q2","02","Outbound","IE051","Mid-West","Thousand",""
